시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
수서종합사회복지관,서울특별시 강남구 광평로 56길 11,서울특별시 강남구 수서동 723,수서종합사회복지관,02-451-7244,수서종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),,,,37.4879790845,127.1056313773,2020-03-01,3220000,서울특별시 강남구
대청종합사회복지관,서울특별시 강남구 양재대로 55길 10,서울특별시 강남구 일원동 711,대청종합사회복지관,02-459-6332,대청종합사회복지관,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:00~12:00),,,,37.4931558395,127.0909926420,2020-03-01,3220000,서울특별시 강남구
세곡리엔파크4단지 경로당,서울특별시 강남구 헌릉로590길 88,서울특별시 강남구 세곡동 522,사회복지법인 영산,02-565-3857,세곡리엔파크4단지 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),,,,37.4628770239,127.1014454587,2020-03-01,3220000,서울특별시 강남구
대청경로당,서울특별시 강남구 개포로124길 24,서울특별시 강남구 일원동 621,사회복지법인 영산,02-565-3857,대청경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),,,,37.4931977652,127.0830002458,2020-03-01,3220000,서울특별시 강남구
대치1단지(일원2) 경로당,서울특별시 강남구 개포로 109길 5,서울특별시 강남구 개포동 12,사회복지법인 영산,02-565-3857,대치1단지(일원2) 경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),,,,37.4923311992,127.0745908046,2020-03-01,3220000,서울특별시 강남구
개포경로당,서울특별시 강남구 선릉로12길 12,서울특별시 강남구 169-3,사회복지법인 영산,02-565-3857,개포경로당,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,중식(11:30~12:30),,,,37.4837037949,127.0608923126,2020-03-01,3220000,서울특별시 강남구
판암사회복지관,대전광역시 동구 옥천로 152-9,대전광역시 동구 판암동 314,판암사회복지관,042-285-1005,판암사회복지관,만 60세 이상 노인,11:00~12:00,매일,2020-02-24,2021-02-24,36.3165676349,127.4585453125,2020-07-14,6300000,대전광역시
성모의집,대전광역시 동구 대전로 895,대전광역시 동구 삼성동 293-4,성모의집,042-627-7571,성모의집,만 60세 이상 노인,11:00~12:00,매일,2020-02-24,2021-02-24,36.3386608778,127.4284266419,2020-07-14,6300000,대전광역시
새나루공동체,대전광역시 동구 선화로 226,대전광역시 동구 정동 7-3,새나루공동체,042-223-6393,새나루공동체,만 60세 이상 노인,16:50~17:20+11:50~12:20,월+화+목+금+토+일,2020-02-24,2021-02-24,36.3353956819,127.4302487916,2020-07-14,6300000,대전광역시
대동종합사회복지관,대전광역시 동구 백룡로 48번길 79,대전광역시 동구 대동 1-187,대동종합사회복지관,042-673-8337,대동종합사회복지관,만 60세 이상 노인,11:00~12:00,매일,2020-02-24,2021-02-24,36.3304882970,127.4501980209,2020-07-14,6300000,대전광역시
석천들경로무료급식소,대전광역시 동구 산내로 1257번길 40,대전광역시 동구 낭월동 611,석천들경로무료급식소,042-000-0000,석천들경로무료급식소,만 60세 이상 노인,10:00~11:00,매일,2020-02-24,2021-02-24,36.2782473589,127.4674655422,2020-07-14,6300000,대전광역시
중촌효심정,대전광역시 중구 대전천서로 616,대전광역시 중구 중촌동 382-1,중촌효심정,042-252-0872,중촌효심정,만 60세 이상 노인,11:50~13:00,매일,2020-02-10,2021-02-10,36.3385606537,127.4159819895,2020-07-14,6300000,대전광역시
문창효심정,대전광역시 중구 보문로 20번길 33,대전광역시 중구 문창동 119-21,문창효심정,042-606-6980,문창효심정,만 60세 이상 노인,11:50~13:00,매일,2020-02-24,2021-02-24,36.3159430533,127.4376434583,2020-07-14,6300000,대전광역시
성락종합사회복지관,대전광역시 중구 선화로 43번길 13,대전광역시 중구 용두동 53-31,성락종합사회복지관,042-254-6396,성락종합사회복지관,만 60세 이상 노인,11:10~12:00,매일,2020-02-07,2021-02-07,36.3276174280,127.4126717812,2020-07-14,6300000,대전광역시
중촌사회복지관,대전광역시 중구 대전천서로 695,대전광역시 중구 중촌동 128-1,중촌사회복지관,042-221-2577,중촌사회복지관,만 60세 이상 노인,11:30~12:30,월+화+수+목+금+토,2020-02-05,2021-02-05,36.3448659197,127.4105838762,2020-07-14,6300000,대전광역시
호산나공동체,대전광역시 중구 계룡로 815번길 6,대전광역시 중구 용두동 35-1,호산나공동체,042-000-0000,호산나공동체,만 60세 이상 노인,16:30~17:30,매일,2020-02-05,2021-02-05,36.3273475906,127.4072666556,2020-07-14,6300000,대전광역시
대전광역시노인복지관,대전광역시 중구 테미로 26,대전광역시 중구 대흥동 311-1,대전광역시노인복지관,042-242-3101,대전광역시노인복지관,만 60세 이상 노인,11:50~13:00,매일,2020-02-10,2021-02-10,36.3207363598,127.4208495038,2020-07-14,6300000,대전광역시
유등노인복지관,대전광역시 서구 도솔로 182,대전광역시 서구 도마동 413-3,유등노인복지관,042-528-0890,유등노인복지관,만 60세 이상 노인,11:00~12:00,매일,2020-02-10,2021-02-10,36.3269148370,127.3742454007,2020-07-14,6300000,대전광역시
서구노인복지관,대전광역시 서구 남선로 66,대전광역시 서구 탄방동 1084,서구노인복지관,042-488-6297,서구노인복지관,만 60세 이상 노인,10:30~12:00,매일,2020-02-10,2021-02-10,36.3464002460,127.3981777635,2020-07-14,6300000,대전광역시
한밭종합사회복지관,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,한밭종합사회복지관,042-484-5325,한밭종합사회복지관,만 60세 이상 노인,10:40~11:20,매일,2020-02-24,2021-02-24,36.3634867463,127.3700705201,2020-07-14,6300000,대전광역시
